id,Bestellnummer,Menge,EAN,Name,Variante,Kategorie,L3-EK (privat),Aufschlag Standard,Aufschlag Minimum,VK
CAT00155,"=""EFL101027""",,"=""4895261110263""",ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00156,"=""EFL101028""",,"=""4895261110768""",ELFBAR ELFLIQ Strawberry Kiwi Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00157,"=""EFL101029""",,"=""4895261110300""",ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00158,"=""EFL101030""",,"=""4895261110805""",ELFBAR ELFLIQ Watermelon Nikotinsalz Liquid 10 ml (VE = 10Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00159,"=""EFL2001001""",,"=""4262481468991""",ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00160,"=""EFL2001002""",,"=""4262481469288""",ELFBAR ELFLIQ Apple Peach Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00161,"=""EFL2001005""",,"=""4262481469059""",ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00162,"=""EFL2001006""",,"=""4262481469349""",ELFBAR ELFLIQ Blueberry Sour Raspberry Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00163,"=""EFL2001007""",,"=""4262481469042""",ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""20mg""",ELFBAR,,25%,15%,
CAT00164,"=""EFL2001008""",,"=""4262481469332""",ELFBAR ELFLIQ Blueberry Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""10mg""",ELFBAR,,25%,15%,
CAT00165,"=""EFL2001009""",,"=""4262481469066""",ELFBAR ELFLIQ Cherry Nikotinsalz Liquid 10 ml (VE = 200Stk),"=""20mg""",ELFBAR,,25%,15%,
